,Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
13,Slalom01,1280,csrt,0.4,0.1,0.1383,0.4242,0.4242,0.4242,0.57,0.1587,0,1,0,0.21,0.58,24.17,0,57,42,0,0,99,100.0,99
14,Bike09,720,mil,0.4,0.1,0.3261,0.4189,0.4189,0.3257,0.6728,0.20600000000000002,0,1,0,0.34,0.58,18.86,97,197,142,0,0,339,437.0,339
15,Bike09,720,kcf,0.4,0.1,0.0137,0.0206,0.0206,1.0,0.0,0.6264,1,0,0,1.0,0.98,78.69,0,0,7,332,97,339,437.0,7
16,Bike09,720,tld,0.4,0.1,0.3158,0.2006,0.2006,0.156,0.8421,0.0647,0,0,1,0.09,0.8,23.41,97,271,68,0,0,339,437.0,339
17,Bike09,720,medianflow,0.4,0.1,0.1023,0.4041,0.4041,0.6782,0.1487,0.4735,0,1,0,0.76,0.6,87.49,22,43,137,159,75,339,437.0,180
18,Bike09,720,goturn,0.4,0.1,0.0855,0.7699,0.7699,0.5986,0.4005,0.4422,0,1,0,0.66,0.23,15.22,97,78,261,0,0,339,437.0,339
19,Bike09,720,mosse,0.4,0.1,0.0129,0.3186,0.3186,1.0,0.0,0.595,1,0,0,0.98,0.68,70.65,0,0,108,231,97,339,437.0,108
20,Bike09,720,csrt,0.4,0.1,0.0154,0.4218,0.4218,0.9051,0.0343,0.6889,1,0,0,0.97,0.58,41.36,15,0,143,196,82,339,437.0,143
21,Bike08,720,mil,0.4,0.1,0.0316,1.0,1.0,0.9964,0.0036,0.3709,0,1,0,0.34,0.0,17.59,2,0,556,0,0,556,559.0,556
22,Bike08,720,kcf,0.4,0.1,0.0107,0.27699999999999997,0.27699999999999997,1.0,0.0,0.6385,1,0,0,0.99,0.72,87.8,0,0,154,402,2,556,559.0,154
23,Bike08,720,tld,0.4,0.1,0.0299,0.9802,0.9802,0.9767,0.0233,0.4803,0,1,0,0.76,0.02,21.86,2,11,545,0,0,556,559.0,556
24,Bike08,720,medianflow,0.4,0.1,0.3071,0.1888,0.1888,0.1885,0.8086,0.0811,0,0,1,0.09,0.81,86.74,2,450,105,1,0,556,559.0,555
25,Bike08,720,goturn,0.4,0.1,0.5138,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.9893,0.0035,0,0,1,0.0,0.99,16.89,2,551,5,0,0,556,559.0,556
26,Bike08,720,mosse,0.4,0.1,0.0167,0.4101,0.4101,1.0,0.0,0.4918,0,1,0,0.72,0.59,106.2,0,0,228,328,2,556,559.0,228
27,Bike08,720,csrt,0.4,0.1,0.0142,1.0,1.0,0.9964,0.0036,0.4626,0,1,0,0.47,0.0,30.49,2,0,556,0,0,556,559.0,556
28,Bike05,1280,mil,0.4,0.1,0.0224,1.0,1.0,1.0,0.0,0.4728,0,1,0,0.58,0.0,13.91,0,0,157,0,0,157,158.0,157
29,Bike05,1280,kcf,0.4,0.1,0.0064,0.6561,0.6561,1.0,0.0,0.5814,1,0,0,0.84,0.34,41.01,0,0,103,54,0,157,158.0,103
30,Bike05,1280,tld,0.4,0.1,0.0631,0.8854,0.8854,0.8854,0.1139,0.4963,0,1,0,0.8,0.11,12.88,0,18,139,0,0,157,158.0,157
31,Bike05,1280,medianflow,0.4,0.1,0.0911,0.7006,0.7006,0.7432,0.2405,0.4912,0,1,0,0.66,0.3,47.86,0,38,110,9,0,157,158.0,148
32,Bike05,1280,goturn,0.4,0.1,0.7346,0.5478,0.5478,0.5478,0.4494,0.1787,0,0,1,0.17,0.45,3.13,0,71,86,0,0,157,158.0,157
33,Bike05,1280,mosse,0.4,0.1,0.0089,1.0,1.0,1.0,0.0,0.4801,0,1,0,0.55,0.0,55.52,0,0,157,0,0,157,158.0,157
34,Bike05,1280,csrt,0.4,0.1,0.0054,1.0,1.0,1.0,0.0,0.7078,1,0,0,1.0,0.0,16.95,0,0,157,0,0,157,158.0,157
35,Bike04,1280,mil,0.4,0.1,0.0045,1.0,1.0,1.0,0.0,0.6063,1,0,0,0.98,0.0,13.84,0,0,94,0,0,94,95.0,94
36,Bike04,1280,kcf,0.4,0.1,0.0023,0.0957,0.0957,1.0,0.0,0.7904,1,0,0,1.0,0.9,48.65,0,0,9,85,0,94,95.0,9
37,Bike04,1280,tld,0.4,0.1,0.1484,0.4894,0.4894,0.4894,0.5053,0.1702,0,1,0,0.23,0.51,7.79,0,48,46,0,0,94,95.0,94
38,Bike04,1280,medianflow,0.4,0.1,0.2298,0.2766,0.2766,0.2766,0.7158,0.0875,0,0,1,0.12,0.72,46.2,0,68,26,0,0,94,95.0,94
39,Bike04,1280,goturn,0.4,0.1,0.0524,0.8511,0.8511,0.8511,0.1474,0.0653,0,0,1,0.02,0.15,11.32,0,14,80,0,0,94,95.0,94
40,Bike04,1280,mosse,0.4,0.1,0.0024,0.3617,0.3617,1.0,0.0,0.6436,1,0,0,1.0,0.64,57.65,0,0,34,60,0,94,95.0,34
41,Bike04,1280,csrt,0.4,0.1,0.0025,1.0,1.0,1.0,0.0,0.7345,1,0,0,1.0,0.0,19.04,0,0,94,0,0,94,95.0,94
42,Bike03,1504,mil,0.4,0.1,0.047,0.9714,0.9714,0.764,0.2333,0.496,1,0,0,0.87,0.03,14.18,19,2,68,0,0,70,90.0,70
43,Bike03,1504,kcf,0.4,0.1,0.01,0.1571,0.1571,1.0,0.0,0.8186,1,0,0,1.0,0.84,58.16,0,0,11,59,19,70,90.0,11
44,Bike03,1504,tld,0.4,0.1,0.4563,0.1429,0.1429,0.1124,0.8778,0.0867,0,0,1,0.14,0.86,7.09,19,60,10,0,0,70,90.0,70
45,Bike03,1504,medianflow,0.4,0.1,0.0331,0.9429,0.9429,0.7416,0.2556,0.5671,1,0,0,0.89,0.06,52.55,19,4,66,0,0,70,90.0,70
46,Bike03,1504,goturn,0.4,0.1,0.3348,0.2286,0.2286,0.1798,0.8111,0.09699999999999999,0,0,1,0.11,0.77,11.66,19,54,16,0,0,70,90.0,70
47,Bike03,1504,mosse,0.4,0.1,0.0009,0.0143,0.0143,1.0,0.0,0.9356,1,0,0,1.0,0.99,64.6,0,0,1,69,19,70,90.0,1
48,Bike03,1504,csrt,0.4,0.1,0.03,1.0,1.0,0.7865,0.2111,0.5769,1,0,0,1.0,0.0,18.7,19,0,70,0,0,70,90.0,70
49,Slalom01,1504,mil,0.4,0.1,0.2104,0.2323,0.2323,0.2323,0.76,0.114,0,0,1,0.16,0.77,14.57,0,76,23,0,0,99,100.0,99
50,Slalom01,1504,kcf,0.4,0.1,0.0016,0.0707,0.0707,1.0,0.0,0.8125,1,0,0,1.0,0.93,67.64,0,0,7,92,0,99,100.0,7
51,Slalom01,1504,tld,0.4,0.1,0.1463,0.3232,0.3232,0.3232,0.67,0.0656,0,0,1,0.1,0.68,7.29,0,67,32,0,0,99,100.0,99
52,Slalom01,1504,medianflow,0.4,0.1,0.0033,0.1717,0.1717,1.0,0.0,0.6509,1,0,0,0.94,0.83,57.47,0,0,17,82,0,99,100.0,17
53,Slalom01,1504,goturn,0.4,0.1,0.1356,0.3838,0.3838,0.3838,0.61,0.0324,0,0,1,0.03,0.62,12.07,0,61,38,0,0,99,100.0,99
54,Slalom01,1504,mosse,0.4,0.1,0.0015,0.0202,0.0202,1.0,0.0,0.8356,1,0,0,1.0,0.98,75.27,0,0,2,97,0,99,100.0,2
55,Slalom01,1504,csrt,0.4,0.1,0.139,0.4242,0.4242,0.4242,0.57,0.1601,0,1,0,0.21,0.58,22.88,0,57,42,0,0,99,100.0,99
